 schemaname |            tablename             |               indexname                |                                                                              indexdef                                                                              
 public     | mdl_assign                       | mdl_assi_cou_ix                        | CREATE INDEX mdl_assi_cou_ix ON public.mdl_assign USING btree (course)
 public     | mdl_assign                       | mdl_assi_gra_ix                        | CREATE INDEX mdl_assi_gra_ix ON public.mdl_assign USING btree (gradepenalty)
 public     | mdl_assign                       | mdl_assi_id_pk                         | CREATE UNIQUE INDEX mdl_assi_id_pk ON public.mdl_assign USING btree (id)
 public     | mdl_assign                       | mdl_assi_tea_ix                        | CREATE INDEX mdl_assi_tea_ix ON public.mdl_assign USING btree (teamsubmissiongroupingid)
 public     | mdl_assign_grades                | mdl_assigrad_ass_ix                    | CREATE INDEX mdl_assigrad_ass_ix ON public.mdl_assign_grades USING btree (assignment)
 public     | mdl_assign_grades                | mdl_assigrad_assuseatt_uix             | CREATE UNIQUE INDEX mdl_assigrad_assuseatt_uix ON public.mdl_assign_grades USING btree (assignment, userid, attemptnumber)
 public     | mdl_assign_grades                | mdl_assigrad_att_ix                    | CREATE INDEX mdl_assigrad_att_ix ON public.mdl_assign_grades USING btree (attemptnumber)
 public     | mdl_assign_grades                | mdl_assigrad_id_pk                     | CREATE UNIQUE INDEX mdl_assigrad_id_pk ON public.mdl_assign_grades USING btree (id)
 public     | mdl_assign_grades                | mdl_assigrad_use_ix                    | CREATE INDEX mdl_assigrad_use_ix ON public.mdl_assign_grades USING btree (userid)
 public     | mdl_assign_overrides             | mdl_assiover_ass_ix                    | CREATE INDEX mdl_assiover_ass_ix ON public.mdl_assign_overrides USING btree (assignid)
 public     | mdl_assign_overrides             | mdl_assiover_gro_ix                    | CREATE INDEX mdl_assiover_gro_ix ON public.mdl_assign_overrides USING btree (groupid)
 public     | mdl_assign_overrides             | mdl_assiover_id_pk                     | CREATE UNIQUE INDEX mdl_assiover_id_pk ON public.mdl_assign_overrides USING btree (id)
 public     | mdl_assign_overrides             | mdl_assiover_use_ix                    | CREATE INDEX mdl_assiover_use_ix ON public.mdl_assign_overrides USING btree (userid)
 public     | mdl_assign_plugin_config         | mdl_assiplugconf_ass_ix                | CREATE INDEX mdl_assiplugconf_ass_ix ON public.mdl_assign_plugin_config USING btree (assignment)
 public     | mdl_assign_plugin_config         | mdl_assiplugconf_id_pk                 | CREATE UNIQUE INDEX mdl_assiplugconf_id_pk ON public.mdl_assign_plugin_config USING btree (id)
 public     | mdl_assign_plugin_config         | mdl_assiplugconf_nam_ix                | CREATE INDEX mdl_assiplugconf_nam_ix ON public.mdl_assign_plugin_config USING btree (name)
 public     | mdl_assign_plugin_config         | mdl_assiplugconf_plu_ix                | CREATE INDEX mdl_assiplugconf_plu_ix ON public.mdl_assign_plugin_config USING btree (plugin)
 public     | mdl_assign_plugin_config         | mdl_assiplugconf_sub_ix                | CREATE INDEX mdl_assiplugconf_sub_ix ON public.mdl_assign_plugin_config USING btree (subtype)
 public     | mdl_assign_submission            | mdl_assisubm_ass_ix                    | CREATE INDEX mdl_assisubm_ass_ix ON public.mdl_assign_submission USING btree (assignment)
 public     | mdl_assign_submission            | mdl_assisubm_assusegroatt_uix          | CREATE UNIQUE INDEX mdl_assisubm_assusegroatt_uix ON public.mdl_assign_submission USING btree (assignment, userid, groupid, attemptnumber)
 public     | mdl_assign_submission            | mdl_assisubm_assusegrolat_ix           | CREATE INDEX mdl_assisubm_assusegrolat_ix ON public.mdl_assign_submission USING btree (assignment, userid, groupid, latest)
 public     | mdl_assign_submission            | mdl_assisubm_att_ix                    | CREATE INDEX mdl_assisubm_att_ix ON public.mdl_assign_submission USING btree (attemptnumber)
 public     | mdl_assign_submission            | mdl_assisubm_id_pk                     | CREATE UNIQUE INDEX mdl_assisubm_id_pk ON public.mdl_assign_submission USING btree (id)
 public     | mdl_assign_submission            | mdl_assisubm_use_ix                    | CREATE INDEX mdl_assisubm_use_ix ON public.mdl_assign_submission USING btree (userid)
 public     | mdl_assign_user_flags            | mdl_assiuserflag_ass_ix                | CREATE INDEX mdl_assiuserflag_ass_ix ON public.mdl_assign_user_flags USING btree (assignment)
 public     | mdl_assign_user_flags            | mdl_assiuserflag_id_pk                 | CREATE UNIQUE INDEX mdl_assiuserflag_id_pk ON public.mdl_assign_user_flags USING btree (id)
 public     | mdl_assign_user_flags            | mdl_assiuserflag_mai_ix                | CREATE INDEX mdl_assiuserflag_mai_ix ON public.mdl_assign_user_flags USING btree (mailed)
 public     | mdl_assign_user_flags            | mdl_assiuserflag_use_ix                | CREATE INDEX mdl_assiuserflag_use_ix ON public.mdl_assign_user_flags USING btree (userid)
 public     | mdl_assign_user_mapping          | mdl_assiusermapp_ass_ix                | CREATE INDEX mdl_assiusermapp_ass_ix ON public.mdl_assign_user_mapping USING btree (assignment)
 public     | mdl_assign_user_mapping          | mdl_assiusermapp_id_pk                 | CREATE UNIQUE INDEX mdl_assiusermapp_id_pk ON public.mdl_assign_user_mapping USING btree (id)
 public     | mdl_assign_user_mapping          | mdl_assiusermapp_use_ix                | CREATE INDEX mdl_assiusermapp_use_ix ON public.mdl_assign_user_mapping USING btree (userid)
 public     | mdl_assignfeedback_comments      | mdl_assicomm_ass_ix                    | CREATE INDEX mdl_assicomm_ass_ix ON public.mdl_assignfeedback_comments USING btree (assignment)
 public     | mdl_assignfeedback_comments      | mdl_assicomm_gra_ix                    | CREATE INDEX mdl_assicomm_gra_ix ON public.mdl_assignfeedback_comments USING btree (grade)
 public     | mdl_assignfeedback_comments      | mdl_assicomm_id_pk                     | CREATE UNIQUE INDEX mdl_assicomm_id_pk ON public.mdl_assignfeedback_comments USING btree (id)
 public     | mdl_assignfeedback_editpdf_annot | mdl_assieditanno_gra_ix                | CREATE INDEX mdl_assieditanno_gra_ix ON public.mdl_assignfeedback_editpdf_annot USING btree (gradeid)
 public     | mdl_assignfeedback_editpdf_annot | mdl_assieditanno_grapag_ix             | CREATE INDEX mdl_assieditanno_grapag_ix ON public.mdl_assignfeedback_editpdf_annot USING btree (gradeid, pageno)
 public     | mdl_assignfeedback_editpdf_annot | mdl_assieditanno_id_pk                 | CREATE UNIQUE INDEX mdl_assieditanno_id_pk ON public.mdl_assignfeedback_editpdf_annot USING btree (id)
 public     | mdl_assignfeedback_editpdf_cmnt  | mdl_assieditcmnt_gra_ix                | CREATE INDEX mdl_assieditcmnt_gra_ix ON public.mdl_assignfeedback_editpdf_cmnt USING btree (gradeid)
 public     | mdl_assignfeedback_editpdf_cmnt  | mdl_assieditcmnt_grapag_ix             | CREATE INDEX mdl_assieditcmnt_grapag_ix ON public.mdl_assignfeedback_editpdf_cmnt USING btree (gradeid, pageno)
 public     | mdl_assignfeedback_editpdf_cmnt  | mdl_assieditcmnt_id_pk                 | CREATE UNIQUE INDEX mdl_assieditcmnt_id_pk ON public.mdl_assignfeedback_editpdf_cmnt USING btree (id)
 public     | mdl_assignfeedback_editpdf_quick | mdl_assieditquic_id_pk                 | CREATE UNIQUE INDEX mdl_assieditquic_id_pk ON public.mdl_assignfeedback_editpdf_quick USING btree (id)
 public     | mdl_assignfeedback_editpdf_quick | mdl_assieditquic_use_ix                | CREATE INDEX mdl_assieditquic_use_ix ON public.mdl_assignfeedback_editpdf_quick USING btree (userid)
 public     | mdl_assignfeedback_editpdf_rot   | mdl_assieditrot_gra_ix                 | CREATE INDEX mdl_assieditrot_gra_ix ON public.mdl_assignfeedback_editpdf_rot USING btree (gradeid)
 public     | mdl_assignfeedback_editpdf_rot   | mdl_assieditrot_grapag_uix             | CREATE UNIQUE INDEX mdl_assieditrot_grapag_uix ON public.mdl_assignfeedback_editpdf_rot USING btree (gradeid, pageno)
 public     | mdl_assignfeedback_editpdf_rot   | mdl_assieditrot_id_pk                  | CREATE UNIQUE INDEX mdl_assieditrot_id_pk ON public.mdl_assignfeedback_editpdf_rot USING btree (id)
 public     | mdl_assignfeedback_file          | mdl_assifile_ass2_ix                   | CREATE INDEX mdl_assifile_ass2_ix ON public.mdl_assignfeedback_file USING btree (assignment)
 public     | mdl_assignfeedback_file          | mdl_assifile_gra_ix                    | CREATE INDEX mdl_assifile_gra_ix ON public.mdl_assignfeedback_file USING btree (grade)
 public     | mdl_assignfeedback_file          | mdl_assifile_id3_pk                    | CREATE UNIQUE INDEX mdl_assifile_id3_pk ON public.mdl_assignfeedback_file USING btree (id)
 public     | mdl_assignsubmission_file        | mdl_assifile_ass_ix                    | CREATE INDEX mdl_assifile_ass_ix ON public.mdl_assignsubmission_file USING btree (assignment)
 public     | mdl_assignsubmission_file        | mdl_assifile_id_pk                     | CREATE UNIQUE INDEX mdl_assifile_id_pk ON public.mdl_assignsubmission_file USING btree (id)
 public     | mdl_assignsubmission_file        | mdl_assifile_sub_ix                    | CREATE INDEX mdl_assifile_sub_ix ON public.mdl_assignsubmission_file USING btree (submission)
 public     | mdl_assignsubmission_onlinetext  | mdl_assionli_ass_ix                    | CREATE INDEX mdl_assionli_ass_ix ON public.mdl_assignsubmission_onlinetext USING btree (assignment)
 public     | mdl_assignsubmission_onlinetext  | mdl_assionli_id_pk                     | CREATE UNIQUE INDEX mdl_assionli_id_pk ON public.mdl_assignsubmission_onlinetext USING btree (id)
 public     | mdl_assignsubmission_onlinetext  | mdl_assionli_sub_ix                    | CREATE INDEX mdl_assionli_sub_ix ON public.mdl_assignsubmission_onlinetext USING btree (submission)
 public     | mdl_attendance                   | idx_mdl_attendance_course              | CREATE INDEX idx_mdl_attendance_course ON public.mdl_attendance USING btree (course) WHERE (course > 0)
 public     | mdl_attendance                   | mdl_atte_cou_ix                        | CREATE INDEX mdl_atte_cou_ix ON public.mdl_attendance USING btree (course)
 public     | mdl_attendance                   | mdl_atte_cou_nam_ix                    | CREATE INDEX mdl_atte_cou_nam_ix ON public.mdl_attendance USING btree (course, name)
 public     | mdl_attendance                   | mdl_atte_id_pk                         | CREATE UNIQUE INDEX mdl_atte_id_pk ON public.mdl_attendance USING btree (id)
 public     | mdl_attendance                   | mdl_atte_timemod_ix                    | CREATE INDEX mdl_atte_timemod_ix ON public.mdl_attendance USING btree (timemodified DESC)
 public     | mdl_attendance_log               | idx_mdl_attendance_log_composite       | CREATE INDEX idx_mdl_attendance_log_composite ON public.mdl_attendance_log USING btree (sessionid, studentid, statusid, timetaken)
 public     | mdl_attendance_log               | idx_mdl_attendance_log_session         | CREATE INDEX idx_mdl_attendance_log_session ON public.mdl_attendance_log USING btree (sessionid, studentid)
 public     | mdl_attendance_log               | idx_mdl_attendance_log_student         | CREATE INDEX idx_mdl_attendance_log_student ON public.mdl_attendance_log USING btree (studentid, sessionid)
 public     | mdl_attendance_log               | mdl_attelog_id_pk                      | CREATE UNIQUE INDEX mdl_attelog_id_pk ON public.mdl_attendance_log USING btree (id)
 public     | mdl_attendance_log               | mdl_attelog_ses_ix                     | CREATE INDEX mdl_attelog_ses_ix ON public.mdl_attendance_log USING btree (sessionid)
 public     | mdl_attendance_log               | mdl_attelog_ses_stu_ix                 | CREATE INDEX mdl_attelog_ses_stu_ix ON public.mdl_attendance_log USING btree (sessionid, studentid)
 public     | mdl_attendance_log               | mdl_attelog_sta_ix                     | CREATE INDEX mdl_attelog_sta_ix ON public.mdl_attendance_log USING btree (statusid)
 public     | mdl_attendance_log               | mdl_attelog_stu_ix                     | CREATE INDEX mdl_attelog_stu_ix ON public.mdl_attendance_log USING btree (studentid)
 public     | mdl_attendance_log               | mdl_attelog_stu_sta_ix                 | CREATE INDEX mdl_attelog_stu_sta_ix ON public.mdl_attendance_log USING btree (studentid, statusid)
 public     | mdl_attendance_log               | mdl_attelog_takenby_ix                 | CREATE INDEX mdl_attelog_takenby_ix ON public.mdl_attendance_log USING btree (takenby)
 public     | mdl_attendance_log               | mdl_attelog_timetaken_ix               | CREATE INDEX mdl_attelog_timetaken_ix ON public.mdl_attendance_log USING btree (timetaken DESC)
 public     | mdl_attendance_rotate_passwords  | mdl_atterotapass_id_pk                 | CREATE UNIQUE INDEX mdl_atterotapass_id_pk ON public.mdl_attendance_rotate_passwords USING btree (id)
 public     | mdl_attendance_sessions          | idx_mdl_attendance_sessions_lookup     | CREATE INDEX idx_mdl_attendance_sessions_lookup ON public.mdl_attendance_sessions USING btree (attendanceid, sessdate DESC)
 public     | mdl_attendance_sessions          | idx_mdl_sessions_date_range            | CREATE INDEX idx_mdl_sessions_date_range ON public.mdl_attendance_sessions USING btree (attendanceid, sessdate, groupid)
 public     | mdl_attendance_sessions          | mdl_attesess_att_gro_ses_ix            | CREATE INDEX mdl_attesess_att_gro_ses_ix ON public.mdl_attendance_sessions USING btree (attendanceid, groupid, sessdate DESC)
 public     | mdl_attendance_sessions          | mdl_attesess_att_ix                    | CREATE INDEX mdl_attesess_att_ix ON public.mdl_attendance_sessions USING btree (attendanceid)
 public     | mdl_attendance_sessions          | mdl_attesess_att_ses_ix                | CREATE INDEX mdl_attesess_att_ses_ix ON public.mdl_attendance_sessions USING btree (attendanceid, sessdate DESC)
 public     | mdl_attendance_sessions          | mdl_attesess_cal_ix                    | CREATE INDEX mdl_attesess_cal_ix ON public.mdl_attendance_sessions USING btree (caleventid)
 public     | mdl_attendance_sessions          | mdl_attesess_gro_ix                    | CREATE INDEX mdl_attesess_gro_ix ON public.mdl_attendance_sessions USING btree (groupid)
 public     | mdl_attendance_sessions          | mdl_attesess_id_pk                     | CREATE UNIQUE INDEX mdl_attesess_id_pk ON public.mdl_attendance_sessions USING btree (id)
 public     | mdl_attendance_sessions          | mdl_attesess_lastak_ix                 | CREATE INDEX mdl_attesess_lastak_ix ON public.mdl_attendance_sessions USING btree (lasttaken DESC) WHERE (lasttaken IS NOT NULL)
 public     | mdl_attendance_sessions          | mdl_attesess_ses_ix                    | CREATE INDEX mdl_attesess_ses_ix ON public.mdl_attendance_sessions USING btree (sessdate)
 public     | mdl_attendance_sessions          | mdl_attesess_timemod_ix                | CREATE INDEX mdl_attesess_timemod_ix ON public.mdl_attendance_sessions USING btree (timemodified DESC) WHERE (timemodified IS NOT NULL)
 public     | mdl_attendance_statuses          | idx_mdl_attendance_statuses_lookup     | CREATE INDEX idx_mdl_attendance_statuses_lookup ON public.mdl_attendance_statuses USING btree (attendanceid) WHERE ((deleted = 0) AND (visible = 1))
 public     | mdl_attendance_statuses          | mdl_attestat_acr_ix                    | CREATE INDEX mdl_attestat_acr_ix ON public.mdl_attendance_statuses USING btree (acronym)
 public     | mdl_attendance_statuses          | mdl_attestat_att_ix                    | CREATE INDEX mdl_attestat_att_ix ON public.mdl_attendance_statuses USING btree (attendanceid)
 public     | mdl_attendance_statuses          | mdl_attestat_att_vis_del_ix            | CREATE INDEX mdl_attestat_att_vis_del_ix ON public.mdl_attendance_statuses USING btree (attendanceid, visible, deleted)
 public     | mdl_attendance_statuses          | mdl_attestat_del_ix                    | CREATE INDEX mdl_attestat_del_ix ON public.mdl_attendance_statuses USING btree (deleted)
 public     | mdl_attendance_statuses          | mdl_attestat_gra_ix                    | CREATE INDEX mdl_attestat_gra_ix ON public.mdl_attendance_statuses USING btree (grade DESC)
 public     | mdl_attendance_statuses          | mdl_attestat_id_pk                     | CREATE UNIQUE INDEX mdl_attestat_id_pk ON public.mdl_attendance_statuses USING btree (id)
 public     | mdl_attendance_statuses          | mdl_attestat_vis_ix                    | CREATE INDEX mdl_attestat_vis_ix ON public.mdl_attendance_statuses USING btree (visible)
 public     | mdl_attendance_tempusers         | mdl_attetemp_cou_ix                    | CREATE INDEX mdl_attetemp_cou_ix ON public.mdl_attendance_tempusers USING btree (courseid)
 public     | mdl_attendance_tempusers         | mdl_attetemp_id_pk                     | CREATE UNIQUE INDEX mdl_attetemp_id_pk ON public.mdl_attendance_tempusers USING btree (id)
 public     | mdl_attendance_tempusers         | mdl_attetemp_stu_uix                   | CREATE UNIQUE INDEX mdl_attetemp_stu_uix ON public.mdl_attendance_tempusers USING btree (studentid)
 public     | mdl_attendance_warning           | mdl_attewarn_id_pk                     | CREATE UNIQUE INDEX mdl_attewarn_id_pk ON public.mdl_attendance_warning USING btree (id)
 public     | mdl_attendance_warning           | mdl_attewarn_idnwarwar_uix             | CREATE UNIQUE INDEX mdl_attewarn_idnwarwar_uix ON public.mdl_attendance_warning USING btree (idnumber, warningpercent, warnafter)
 public     | mdl_attendance_warning_done      | mdl_attewarndone_id_pk                 | CREATE UNIQUE INDEX mdl_attewarndone_id_pk ON public.mdl_attendance_warning_done USING btree (id)
 public     | mdl_attendance_warning_done      | mdl_attewarndone_notuse_ix             | CREATE INDEX mdl_attewarndone_notuse_ix ON public.mdl_attendance_warning_done USING btree (notifyid, userid)
 public     | mdl_auth_lti_linked_login        | mdl_authltilinklogi_id_pk              | CREATE UNIQUE INDEX mdl_authltilinklogi_id_pk ON public.mdl_auth_lti_linked_login USING btree (id)
 public     | mdl_auth_lti_linked_login        | mdl_authltilinklogi_use_ix             | CREATE INDEX mdl_authltilinklogi_use_ix ON public.mdl_auth_lti_linked_login USING btree (userid)
 public     | mdl_auth_lti_linked_login        | mdl_authltilinklogi_useiss_uix         | CREATE UNIQUE INDEX mdl_authltilinklogi_useiss_uix ON public.mdl_auth_lti_linked_login USING btree (userid, issuer256, sub256)
